LH_Vis,1
LH_SomMot,2
LH_DorsAttn_Post,3
LH_DorsAttn_FEF,4
LH_DorsAttn_PrCv,5
LH_SalVentAttn_ParOper,6
LH_SalVentAttn_TempOcc,7
LH_SalVentAttn_FrOper,8
LH_SalVentAttn_PFCl,9
LH_SalVentAttn_Med,10
LH_Limbic_OFC,11
LH_Limbic_TempPole,12
LH_Cont_Par,13
LH_Cont_Temp,14
LH_Cont_PFCd,15
LH_Cont_PFCl,16
LH_Cont_OFC,17
LH_Cont_PFCv,18
LH_Cont_pCun,19
LH_Cont_Cing,20
LH_Cont_PFCmp,21
LH_Default_Par,22
LH_Default_Temp,23
LH_Default_PFC,24
LH_Default_PCC,25
LH_Default_PHC,26
RH_Vis,27
RH_SomMot,28
RH_DorsAttn_Post,29
RH_DorsAttn_FEF,30
RH_DorsAttn_PrCv,31
RH_SalVentAttn_TempOccPar,32
RH_SalVentAttn_PrC,33
RH_SalVentAttn_FrOper,34
RH_SalVentAttn_PFCv,35
RH_SalVentAttn_PFCl,36
RH_SalVentAttn_Med,37
RH_Limbic_OFC,38
RH_Limbic_TempPole,39
RH_Cont_Par,40
RH_Cont_Temp,41
RH_Cont_PFCv,42
RH_Cont_PFCl,43
RH_Cont_pCun,44
RH_Cont_Cing,45
RH_Cont_PFCmp,46
RH_Default_Par,47
RH_Default_Temp,48
RH_Default_PFCv,49
RH_Default_PFCm,50
RH_Default_PCC,51
